,weight
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,WR,X,WH,X,X,BP,X,WP,WH,X,X,X,X,BKB,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,BK,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.15321363249105627
"X,X,WK,X,X,X,X,X,X,X,BP,X,WP,X,X,WR,X,WH,X,X,BP,BKB,WP,WH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,BK,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.13928512044641478
"X,X,X,WK,X,X,X,X,X,X,BP,X,WP,X,X,WR,X,WH,X,X,BP,BKB,WP,WH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,BK,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.12662283676946798
"X,X,X,WK,X,X,X,X,X,X,WQB,X,WP,X,X,WR,X,WH,X,BP,BP,BKB,WP,WH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,BK,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.11511166979042542
"X,X,X,WK,X,X,X,X,X,X,WQB,X,WP,WR,X,X,X,WH,X,BP,BP,BKB,WP,WH,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,BK,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.10464697253675037
"X,X,X,WK,X,X,X,X,X,X,WQB,X,WP,WR,X,X,X,WH,X,X,BP,BKB,WP,WH,X,X,X,BP,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,BK,X,X,X,X,BH,X,X,WKB,X,X,X,X,X,X,X,X,X,X,X",-0.09513361139704578
"X,X,X,WK,X,X,X,X,X,X,X,X,WP,WR,X,X,X,WH,X,X,BP,BKB,WP,WH,X,X,X,BP,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,BK,X,X,X,X,BH,X,X,WKB,X,X,WQB,X,X,X,X,X,X,X,X",-0.08648510127004161
"X,X,X,WK,X,X,X,X,X,X,X,X,WP,WR,X,X,X,WH,X,X,BP,BKB,WP,WH,X,X,X,BP,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,X,X,X,X,X,BH,X,BK,WKB,X,X,WQB,X,X,X,X,X,X,X,X",-0.07862281933640146
"X,X,X,WK,X,X,X,X,X,X,X,X,WP,X,X,WR,X,WH,X,X,BP,BKB,WP,WH,X,X,X,BP,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,X,X,X,X,X,BH,X,BK,WKB,X,X,WQB,X,X,X,X,X,X,X,X",-0.0714752903058195
"X,X,X,WK,X,X,X,BKB,X,X,X,X,WP,X,X,WR,X,WH,X,X,BP,X,WP,WH,X,X,X,BP,X,X,X,X,WP,X,BP,X,X,X,BH,BP,BP,BR,X,X,X,X,X,X,X,BH,X,BK,WKB,X,X,WQB,X,X,X,X,X,X,X,X",-0.0649775366416541
